Emp_ID,Emp_Name,Order_ID,Delivery_Time_Minutes,Order_Status
DP175,Ravi Kumar,ORD000232,18,Cancelled
DP040,Dinesh R,ORD000233,40,Rejected
DP053,Ajay Kumar,ORD000234,28,Completed
DP127,Prakash S,ORD000235,29,Completed
DP051,Mohan Raj,ORD000236,23,Cancelled
DP058,Mohan Raj,ORD000237,31,Rejected
DP017,Ajay Kumar,ORD000238,14,Cancelled
DP212,Suresh Kumar,ORD000239,45,Completed
DP238,Ajay Kumar,ORD000240,14,Completed
DP168,Prakash S,ORD000241,29,Completed
DP096,Lokesh K,ORD000242,33,Completed
DP058,Lokesh K,ORD000243,22,Completed
DP248,Vijay S,ORD000244,31,Cancelled
DP103,Ravi Kumar,ORD000245,44,Completed
DP206,Kiran M,ORD000246,13,Completed
DP243,Dinesh R,ORD000247,22,Completed
DP236,Suresh Kumar,ORD000248,14,Completed
DP136,Prakash S,ORD000249,38,Completed
DP201,Lokesh K,ORD000250,40,Completed
DP208,Ravi Kumar,ORD000251,35,Completed
DP090,Vijay S,ORD000252,45,Cancelled
DP220,Mohan Raj,ORD000253,31,Cancelled
DP066,Ajay Kumar,ORD000254,35,Cancelled
DP048,Prakash S,ORD000255,25,Completed
DP043,Manoj Kumar,ORD000256,32,Completed
DP158,Dinesh R,ORD000257,25,Cancelled
DP159,Manoj Kumar,ORD000258,34,Cancelled
DP116,Kiran M,ORD000259,42,Completed
DP132,Nithin P,ORD000260,29,Completed
DP160,Ajay Kumar,ORD000261,13,Completed
DP042,Imran Khan,ORD000262,19,Completed
DP139,Ravi Kumar,ORD000263,37,Rejected
DP124,Manoj Kumar,ORD000264,16,Completed
DP152,Manoj Kumar,ORD000265,41,Completed
DP178,Nithin P,ORD000266,44,Completed
DP248,Imran Khan,ORD000267,25,Completed
DP040,Mohan Raj,ORD000268,22,Completed
DP213,Vijay S,ORD000269,38,Completed
DP065,Dinesh R,ORD000270,32,Cancelled
DP073,Ravi Kumar,ORD000271,10,Rejected
DP181,Imran Khan,ORD000272,11,Rejected
DP126,Ravi Kumar,ORD000273,17,Cancelled
DP001,Kiran M,ORD000274,18,Cancelled
DP123,Imran Khan,ORD000275,14,Cancelled
DP051,Ajay Kumar,ORD000276,31,Completed
DP232,Ajay Kumar,ORD000277,22,Completed
DP195,Nithin P,ORD000278,10,Completed
DP137,Vijay S,ORD000279,31,Completed
DP133,Nithin P,ORD000280,24,Rejected
DP101,Mohan Raj,ORD000281,16,Completed
DP184,Imran Khan,ORD000282,37,Cancelled
DP198,Suresh Kumar,ORD000283,10,Rejected
DP178,Suresh Kumar,ORD000284,32,Completed
DP217,Prakash S,ORD000285,13,Cancelled
DP120,Nithin P,ORD000286,34,Completed
DP073,Nithin P,ORD000287,19,Completed
DP172,Suresh Kumar,ORD000288,21,Completed
DP224,Nithin P,ORD000289,16,Rejected
DP154,Vijay S,ORD000290,25,Cancelled
DP012,Nithin P,ORD000291,22,Rejected
DP079,Vijay S,ORD000292,22,Completed
DP211,Imran Khan,ORD000293,10,Completed
DP173,Ajay Kumar,ORD000294,20,Completed
DP013,Suresh Kumar,ORD000295,18,Cancelled
DP124,Mohan Raj,ORD000296,18,Completed
DP166,Ravi Kumar,ORD000297,16,Completed
DP012,Ravi Kumar,ORD000298,26,Completed
DP056,Lokesh K,ORD000299,11,Rejected
DP229,Mohan Raj,ORD000300,32,Rejected
DP224,Ajay Kumar,ORD000301,20,Cancelled
DP174,Kiran M,ORD000302,45,Completed
DP078,Prakash S,ORD000303,24,Completed
DP190,Ravi Kumar,ORD000304,27,Cancelled
DP165,Ravi Kumar,ORD000305,17,Completed
DP050,Imran Khan,ORD000306,14,Completed
DP078,Suresh Kumar,ORD000307,38,Rejected
DP011,Dinesh R,ORD000308,33,Rejected
DP196,Manoj Kumar,ORD000309,22,Completed
DP163,Lokesh K,ORD000310,14,Cancelled
DP062,Nithin P,ORD000311,21,Rejected
DP127,Ravi Kumar,ORD000312,20,Completed
DP042,Manoj Kumar,ORD000313,12,Completed
DP166,Ajay Kumar,ORD000314,23,Completed
DP044,Prakash S,ORD000315,38,Completed
DP079,Vijay S,ORD000316,25,Cancelled
DP105,Dinesh R,ORD000317,45,Cancelled
DP009,Vijay S,ORD000318,38,Completed
DP005,Prakash S,ORD000319,16,Completed
DP206,Mohan Raj,ORD000320,41,Rejected
DP018,Suresh Kumar,ORD000321,30,Completed
DP187,Suresh Kumar,ORD000322,37,Completed
DP152,Nithin P,ORD000323,42,Rejected
DP120,Ajay Kumar,ORD000324,12,Rejected
DP050,Ajay Kumar,ORD000325,25,Completed
DP039,Imran Khan,ORD000326,25,Rejected
DP157,Ajay Kumar,ORD000327,43,Rejected
DP080,Ajay Kumar,ORD000328,26,Completed
DP021,Prakash S,ORD000329,28,Completed
DP117,Manoj Kumar,ORD000330,31,Completed
DP245,Ajay Kumar,ORD000331,25,Completed
DP154,Nithin P,ORD000332,32,Completed
DP234,Ajay Kumar,ORD000333,36,Completed
DP169,Lokesh K,ORD000334,19,Rejected
DP168,Kiran M,ORD000335,11,Completed
DP207,Ravi Kumar,ORD000336,18,Rejected
DP096,Vijay S,ORD000337,24,Cancelled
DP008,Ajay Kumar,ORD000338,12,Completed
DP070,Kiran M,ORD000339,12,Cancelled
DP090,Dinesh R,ORD000340,21,Cancelled
DP021,Lokesh K,ORD000341,42,Rejected
DP214,Dinesh R,ORD000342,28,Cancelled
DP041,Manoj Kumar,ORD000343,21,Completed
DP017,Vijay S,ORD000344,43,Completed
DP052,Prakash S,ORD000345,39,Completed
DP107,Manoj Kumar,ORD000346,11,Rejected
DP092,Suresh Kumar,ORD000347,32,Completed
DP176,Manoj Kumar,ORD000348,35,Rejected
DP171,Nithin P,ORD000349,25,Completed
DP164,Manoj Kumar,ORD000350,11,Completed
DP020,Suresh Kumar,ORD000351,16,Cancelled
DP154,Vijay S,ORD000352,42,Completed
DP219,Suresh Kumar,ORD000353,14,Completed
DP210,Kiran M,ORD000354,11,Completed
DP088,Kiran M,ORD000355,41,Completed
DP231,Mohan Raj,ORD000356,34,Completed
DP087,Mohan Raj,ORD000357,15,Cancelled
DP129,Dinesh R,ORD000358,33,Completed
DP246,Ravi Kumar,ORD000359,40,Completed
DP184,Vijay S,ORD000360,37,Completed
DP022,Ravi Kumar,ORD000361,33,Completed
DP244,Ravi Kumar,ORD000362,36,Completed
DP212,Mohan Raj,ORD000363,36,Completed
DP044,Kiran M,ORD000364,38,Cancelled
DP196,Mohan Raj,ORD000365,25,Completed
DP062,Vijay S,ORD000366,29,Completed
DP041,Suresh Kumar,ORD000367,21,Completed
DP199,Kiran M,ORD000368,26,Completed
DP094,Mohan Raj,ORD000369,25,Rejected
DP145,Imran Khan,ORD000370,24,Completed
DP052,Suresh Kumar,ORD000371,37,Completed
DP098,Kiran M,ORD000372,33,Completed
DP197,Imran Khan,ORD000373,22,Completed
DP200,Suresh Kumar,ORD000374,18,Completed
DP004,Suresh Kumar,ORD000375,42,Rejected
DP222,Imran Khan,ORD000376,16,Completed
DP007,Vijay S,ORD000377,30,Completed
DP057,Ravi Kumar,ORD000378,36,Completed
DP219,Imran Khan,ORD000379,15,Completed
DP160,Vijay S,ORD000380,34,Completed
DP146,Lokesh K,ORD000381,12,Rejected
DP207,Ravi Kumar,ORD000382,12,Completed
DP021,Mohan Raj,ORD000383,40,Cancelled
DP196,Prakash S,ORD000384,25,Cancelled
DP166,Dinesh R,ORD000385,12,Completed
DP234,Lokesh K,ORD000386,14,Cancelled
DP200,Nithin P,ORD000387,43,Cancelled
DP234,Dinesh R,ORD000388,29,Cancelled
DP170,Ravi Kumar,ORD000389,31,Completed
DP041,Manoj Kumar,ORD000390,41,Cancelled
DP096,Lokesh K,ORD000391,41,Rejected
DP201,Ravi Kumar,ORD000392,30,Completed
DP055,Imran Khan,ORD000393,15,Completed
DP128,Suresh Kumar,ORD000394,39,Completed
DP189,Lokesh K,ORD000395,14,Rejected
DP171,Imran Khan,ORD000396,15,Rejected
DP166,Ajay Kumar,ORD000397,36,Completed
DP218,Imran Khan,ORD000398,15,Completed
DP140,Prakash S,ORD000399,14,Cancelled
DP106,Kiran M,ORD000400,33,Completed
DP187,Suresh Kumar,ORD000401,20,Rejected
DP100,Prakash S,ORD000402,40,Completed
DP158,Lokesh K,ORD000403,20,Completed
DP238,Prakash S,ORD000404,13,Cancelled
DP209,Lokesh K,ORD000405,34,Completed
DP049,Vijay S,ORD000406,12,Cancelled
DP202,Nithin P,ORD000407,17,Completed
DP115,Manoj Kumar,ORD000408,23,Cancelled
DP151,Suresh Kumar,ORD000409,19,Cancelled
DP073,Prakash S,ORD000410,32,Completed
DP100,Ravi Kumar,ORD000411,23,Cancelled
DP076,Lokesh K,ORD000412,25,Completed
DP240,Prakash S,ORD000413,16,Rejected
DP094,Lokesh K,ORD000414,44,Cancelled
DP222,Kiran M,ORD000415,19,Completed
DP186,Suresh Kumar,ORD000416,24,Completed
DP191,Mohan Raj,ORD000417,15,Rejected
DP091,Manoj Kumar,ORD000418,22,Cancelled
DP244,Suresh Kumar,ORD000419,33,Completed
DP073,Vijay S,ORD000420,22,Cancelled
DP102,Prakash S,ORD000421,13,Rejected
DP029,Dinesh R,ORD000422,14,Completed
DP244,Kiran M,ORD000423,22,Completed
DP160,Suresh Kumar,ORD000424,19,Cancelled
DP009,Prakash S,ORD000425,10,Rejected
DP195,Manoj Kumar,ORD000426,37,Rejected
DP233,Vijay S,ORD000427,18,Rejected
DP005,Imran Khan,ORD000428,21,Rejected
DP166,Vijay S,ORD000429,38,Completed
DP178,Kiran M,ORD000430,29,Completed
DP184,Kiran M,ORD000431,41,Cancelled
DP091,Ajay Kumar,ORD000432,27,Cancelled
DP102,Prakash S,ORD000433,21,Completed
DP131,Imran Khan,ORD000434,17,Rejected
DP080,Ajay Kumar,ORD000435,28,Completed
DP030,Manoj Kumar,ORD000436,31,Cancelled
DP041,Dinesh R,ORD000437,15,Completed
DP047,Manoj Kumar,ORD000438,38,Rejected
DP004,Vijay S,ORD000439,41,Completed
DP026,Imran Khan,ORD000440,41,Completed
DP173,Mohan Raj,ORD000441,40,Cancelled
DP117,Kiran M,ORD000442,13,Rejected
DP003,Ravi Kumar,ORD000443,11,Completed
DP051,Lokesh K,ORD000444,20,Completed
DP056,Imran Khan,ORD000445,11,Completed
DP163,Ravi Kumar,ORD000446,15,Completed
DP008,Dinesh R,ORD000447,43,Completed
DP161,Lokesh K,ORD000448,18,Completed
DP245,Nithin P,ORD000449,39,Completed
DP193,Ajay Kumar,ORD000450,14,Completed
DP187,Mohan Raj,ORD000451,20,Completed
DP150,Dinesh R,ORD000452,18,Completed
DP161,Lokesh K,ORD000453,37,Completed
DP143,Manoj Kumar,ORD000454,17,Rejected
DP116,Manoj Kumar,ORD000455,25,Rejected
DP122,Kiran M,ORD000456,14,Cancelled
DP221,Dinesh R,ORD000457,13,Completed
DP132,Imran Khan,ORD000458,14,Completed
DP119,Nithin P,ORD000459,29,Completed
DP196,Kiran M,ORD000460,38,Cancelled
DP141,Dinesh R,ORD000461,33,Rejected
DP141,Ajay Kumar,ORD000462,11,Completed
DP025,Prakash S,ORD000463,15,Completed
DP006,Ravi Kumar,ORD000464,31,Rejected
DP173,Ajay Kumar,ORD000465,24,Rejected
DP175,Mohan Raj,ORD000466,31,Completed
DP223,Lokesh K,ORD000467,45,Rejected
DP155,Imran Khan,ORD000468,10,Completed
DP045,Suresh Kumar,ORD000469,39,Cancelled
DP047,Prakash S,ORD000470,19,Completed
DP031,Nithin P,ORD000471,30,Rejected
DP037,Dinesh R,ORD000472,10,Completed
DP091,Nithin P,ORD000473,39,Completed
DP039,Ravi Kumar,ORD000474,23,Completed
DP050,Nithin P,ORD000475,35,Cancelled
DP160,Mohan Raj,ORD000476,19,Completed
DP143,Imran Khan,ORD000477,26,Rejected
DP245,Imran Khan,ORD000478,40,Rejected
DP237,Ajay Kumar,ORD000479,10,Completed
DP226,Mohan Raj,ORD000480,32,Rejected
DP238,Suresh Kumar,ORD000481,29,Completed
DP079,Dinesh R,ORD000482,44,Cancelled
DP233,Lokesh K,ORD000483,32,Completed
DP250,Mohan Raj,ORD000484,22,Completed
DP015,Vijay S,ORD000485,42,Completed
DP084,Lokesh K,ORD000486,29,Cancelled
DP152,Kiran M,ORD000487,34,Completed
DP006,Dinesh R,ORD000488,45,Completed
DP132,Mohan Raj,ORD000489,43,Cancelled
DP130,Mohan Raj,ORD000490,41,Cancelled
DP112,Lokesh K,ORD000491,25,Completed
DP237,Imran Khan,ORD000492,11,Rejected
DP242,Imran Khan,ORD000493,41,Completed
DP151,Lokesh K,ORD000494,23,Completed
DP232,Ajay Kumar,ORD000495,45,Rejected
DP127,Imran Khan,ORD000496,40,Completed
DP090,Lokesh K,ORD000497,41,Completed
DP022,Imran Khan,ORD000498,20,Cancelled
DP155,Nithin P,ORD000499,31,Completed
DP089,Prakash S,ORD000500,21,Cancelled
DP174,Ravi Kumar,ORD000501,10,Completed
DP210,Lokesh K,ORD000502,18,Completed
DP211,Imran Khan,ORD000503,44,Completed
DP083,Ravi Kumar,ORD000504,35,Completed
DP205,Ajay Kumar,ORD000505,13,Completed
DP054,Manoj Kumar,ORD000506,42,Completed
DP005,Kiran M,ORD000507,17,Completed
DP030,Prakash S,ORD000508,13,Rejected
DP090,Vijay S,ORD000509,44,Completed
DP080,Vijay S,ORD000510,44,Cancelled
DP241,Dinesh R,ORD000511,25,Completed
DP101,Mohan Raj,ORD000512,24,Completed
DP049,Vijay S,ORD000513,44,Cancelled
DP048,Suresh Kumar,ORD000514,28,Rejected
DP149,Vijay S,ORD000515,29,Completed
DP205,Manoj Kumar,ORD000516,12,Completed
DP093,Prakash S,ORD000517,28,Cancelled
DP068,Lokesh K,ORD000518,33,Cancelled
DP246,Ajay Kumar,ORD000519,36,Completed
DP136,Ravi Kumar,ORD000520,33,Completed
DP021,Suresh Kumar,ORD000521,10,Completed
DP214,Nithin P,ORD000522,16,Completed
DP108,Prakash S,ORD000523,28,Completed
DP103,Prakash S,ORD000524,19,Cancelled
DP198,Ravi Kumar,ORD000525,12,Completed
DP131,Suresh Kumar,ORD000526,24,Completed
DP110,Ravi Kumar,ORD000527,38,Cancelled
DP138,Ravi Kumar,ORD000528,27,Completed
DP237,Imran Khan,ORD000529,21,Completed
DP189,Ravi Kumar,ORD000530,28,Completed
DP237,Lokesh K,ORD000531,12,Completed
DP242,Nithin P,ORD000532,11,Completed
DP204,Vijay S,ORD000533,25,Cancelled
DP185,Mohan Raj,ORD000534,21,Completed
DP169,Dinesh R,ORD000535,19,Completed
DP083,Mohan Raj,ORD000536,27,Completed
DP207,Nithin P,ORD000537,10,Cancelled
DP221,Lokesh K,ORD000538,20,Rejected
DP120,Suresh Kumar,ORD000539,32,Completed
DP119,Manoj Kumar,ORD000540,43,Rejected
DP182,Kiran M,ORD000541,40,Rejected
DP129,Kiran M,ORD000542,29,Rejected
DP141,Lokesh K,ORD000543,20,Completed
DP143,Imran Khan,ORD000544,14,Completed
DP214,Lokesh K,ORD000545,34,Completed
DP036,Ravi Kumar,ORD000546,33,Completed
DP073,Prakash S,ORD000547,40,Cancelled
DP140,Lokesh K,ORD000548,23,Completed
DP165,Prakash S,ORD000549,22,Rejected
DP166,Ajay Kumar,ORD000550,25,Completed
DP187,Suresh Kumar,ORD000551,39,Completed
DP128,Lokesh K,ORD000552,21,Completed
DP015,Ajay Kumar,ORD000553,13,Cancelled
DP221,Dinesh R,ORD000554,34,Completed
DP025,Prakash S,ORD000555,11,Completed
DP130,Ravi Kumar,ORD000556,15,Completed
DP163,Manoj Kumar,ORD000557,28,Completed
DP001,Lokesh K,ORD000558,36,Rejected
DP031,Mohan Raj,ORD000559,34,Completed
DP055,Vijay S,ORD000560,32,Rejected
DP194,Lokesh K,ORD000561,27,Completed
DP062,Manoj Kumar,ORD000562,13,Cancelled
DP090,Ajay Kumar,ORD000563,39,Cancelled
DP224,Prakash S,ORD000564,29,Completed
DP142,Kiran M,ORD000565,16,Completed
DP067,Mohan Raj,ORD000566,40,Completed
DP228,Prakash S,ORD000567,20,Rejected
DP013,Lokesh K,ORD000568,17,Cancelled
DP164,Lokesh K,ORD000569,27,Completed
DP084,Prakash S,ORD000570,19,Completed
DP119,Vijay S,ORD000571,33,Completed
DP100,Prakash S,ORD000572,21,Rejected
DP222,Suresh Kumar,ORD000573,15,Completed
DP049,Ajay Kumar,ORD000574,32,Completed
DP242,Dinesh R,ORD000575,18,Completed
DP007,Ajay Kumar,ORD000576,34,Rejected
DP114,Vijay S,ORD000577,15,Rejected
DP250,Dinesh R,ORD000578,25,Cancelled
