Emp_ID,Emp_Name,Order_ID,Attendance_Percentage,Picking_Time_Minutes,Income_Earned
PK024,Karthik Raj,ORD000045,89.64,6,61.24
PK111,Priya Sharma,ORD000046,95.12,19,32.98
PK228,Priya Sharma,ORD000047,96.5,18,73.26
PK118,Rahul Singh,ORD000048,89.96,19,85.67
PK145,Karthik Raj,ORD000049,87.91,16,56.08
PK163,Arun Kumar,ORD000050,82.64,11,48.56
PK017,Meena Devi,ORD000051,94.52,11,69.95
PK038,Karthik Raj,ORD000052,93.33,4,23.54
PK088,Anitha S,ORD000053,88.21,15,28.48
PK157,Harish M,ORD000054,82.64,6,22.33
PK112,Meena Devi,ORD000055,86.7,16,109.99
PK147,Arun Kumar,ORD000056,90.7,18,49.62
PK147,Anitha S,ORD000057,92.96,13,19.78
PK092,Vignesh R,ORD000058,93.7,18,59.53
PK039,Vignesh R,ORD000059,90.12,5,99.38
PK069,Harish M,ORD000060,99.84,7,70.54
PK115,Priya Sharma,ORD000061,94.99,3,106.6
PK143,Divya Nair,ORD000062,94.97,15,113.79
PK104,Priya Sharma,ORD000063,93.71,20,108.35
PK248,Vignesh R,ORD000064,99.49,18,105.15
PK076,Arun Kumar,ORD000065,90.04,6,45.65
PK062,Arun Kumar,ORD000066,98.2,7,108.68
PK198,Vignesh R,ORD000067,98.24,11,63.22
PK091,Karthik Raj,ORD000068,83.1,3,89.29
PK187,Naveen Kumar,ORD000069,96.13,19,30.41
PK210,Karthik Raj,ORD000070,97.42,15,98.59
PK025,Vignesh R,ORD000071,94.91,5,111.99
PK111,Karthik Raj,ORD000072,95.99,19,68.75
PK095,Meena Devi,ORD000073,93.97,10,65.13
PK057,Naveen Kumar,ORD000074,98.14,16,50.69
PK216,Swetha R,ORD000075,89.74,12,48.95
PK121,Karthik Raj,ORD000076,85.45,10,38.17
PK051,Rahul Singh,ORD000077,82.28,13,35.14
PK189,Meena Devi,ORD000078,97.14,14,104.86
PK096,Arun Kumar,ORD000079,85.17,15,36.49
PK169,Meena Devi,ORD000080,87.98,16,53.55
PK232,Meena Devi,ORD000081,99.96,10,58.29
PK005,Naveen Kumar,ORD000082,95.46,4,25.62
PK202,Vignesh R,ORD000083,87.68,8,61.43
PK168,Priya Sharma,ORD000084,95.14,7,53.58
PK003,Anitha S,ORD000085,93.86,7,66.1
PK151,Anitha S,ORD000086,99.79,12,36.87
PK245,Swetha R,ORD000087,92.39,10,49.97
PK085,Rahul Singh,ORD000088,92.05,9,95.57
PK228,Priya Sharma,ORD000089,96.93,7,111.86
PK048,Meena Devi,ORD000090,88.29,6,63.61
PK069,Anitha S,ORD000091,89.45,15,51.8
PK080,Arun Kumar,ORD000092,94.85,5,101.45
PK083,Sanjay Kumar,ORD000093,87.64,20,46.11
PK178,Rahul Singh,ORD000094,93.76,6,35.39
PK131,Harish M,ORD000095,85.3,14,96.43
PK013,Meena Devi,ORD000096,99.0,3,71.1
PK008,Naveen Kumar,ORD000097,85.7,16,50.53
PK009,Sanjay Kumar,ORD000098,99.59,12,45.87
PK062,Naveen Kumar,ORD000099,99.93,20,70.1
PK174,Naveen Kumar,ORD000100,88.38,18,27.66
PK245,Naveen Kumar,ORD000101,85.82,6,45.23
PK083,Harish M,ORD000102,94.96,18,20.8
PK094,Vignesh R,ORD000103,87.78,3,54.08
PK036,Swetha R,ORD000104,82.53,14,57.39
PK024,Harish M,ORD000105,92.75,6,111.88
PK223,Priya Sharma,ORD000106,92.91,4,104.75
PK136,Swetha R,ORD000107,93.71,9,18.22
PK145,Swetha R,ORD000108,91.59,14,54.66
PK030,Swetha R,ORD000109,84.03,15,65.94
PK023,Sanjay Kumar,ORD000110,89.57,17,74.98
PK172,Rahul Singh,ORD000111,96.68,15,23.34
PK124,Sanjay Kumar,ORD000112,83.66,9,55.39
PK052,Vignesh R,ORD000113,83.87,7,43.2
PK202,Naveen Kumar,ORD000114,88.9,9,32.4
PK224,Divya Nair,ORD000115,96.94,8,27.03
PK020,Karthik Raj,ORD000116,96.71,20,57.67
PK222,Swetha R,ORD000117,93.29,18,78.15
PK122,Divya Nair,ORD000118,86.16,6,50.06
PK081,Divya Nair,ORD000119,84.45,11,19.62
PK012,Anitha S,ORD000120,82.32,18,81.34
PK169,Naveen Kumar,ORD000121,97.65,19,83.85
PK003,Divya Nair,ORD000122,82.75,11,26.76
PK160,Karthik Raj,ORD000123,84.2,15,25.32
PK179,Divya Nair,ORD000124,82.94,13,30.46
PK105,Vignesh R,ORD000125,87.0,14,76.51
PK238,Harish M,ORD000126,96.14,10,116.49
PK085,Priya Sharma,ORD000127,96.95,20,50.51
PK040,Karthik Raj,ORD000128,99.21,14,50.41
PK157,Harish M,ORD000129,87.33,18,23.29
PK162,Rahul Singh,ORD000130,91.19,20,15.8
PK174,Anitha S,ORD000131,82.41,16,77.17
PK235,Naveen Kumar,ORD000132,94.61,17,77.35
PK142,Naveen Kumar,ORD000133,84.69,14,107.08
PK052,Swetha R,ORD000134,82.15,3,24.56
PK093,Divya Nair,ORD000135,85.43,5,112.54
PK181,Divya Nair,ORD000136,91.96,8,53.36
PK177,Naveen Kumar,ORD000137,90.12,6,37.11
PK134,Meena Devi,ORD000138,82.04,16,42.67
PK102,Priya Sharma,ORD000139,91.48,20,32.96
PK136,Swetha R,ORD000140,91.06,5,30.81
PK144,Rahul Singh,ORD000141,84.9,4,88.87
PK239,Rahul Singh,ORD000142,97.55,11,74.95
PK200,Priya Sharma,ORD000143,99.92,12,84.46
PK154,Rahul Singh,ORD000144,91.89,14,85.03
PK215,Naveen Kumar,ORD000145,89.66,19,21.85
PK030,Swetha R,ORD000146,93.17,13,48.23
PK173,Meena Devi,ORD000147,87.07,11,63.62
PK015,Vignesh R,ORD000148,89.81,17,35.75
PK044,Rahul Singh,ORD000149,85.49,5,69.04
PK020,Karthik Raj,ORD000150,96.71,10,35.06
PK211,Arun Kumar,ORD000151,91.2,9,21.89
PK224,Divya Nair,ORD000152,89.51,10,24.97
PK231,Swetha R,ORD000153,98.29,7,117.34
PK081,Anitha S,ORD000154,90.9,20,58.76
PK044,Priya Sharma,ORD000155,82.64,4,89.62
PK030,Rahul Singh,ORD000156,96.98,14,111.27
PK209,Divya Nair,ORD000157,97.78,11,26.05
PK025,Vignesh R,ORD000158,84.07,8,43.31
PK050,Divya Nair,ORD000159,84.64,8,56.12
PK187,Anitha S,ORD000160,95.41,10,34.82
PK155,Swetha R,ORD000161,85.97,17,86.47
PK004,Divya Nair,ORD000162,83.92,20,69.58
PK049,Sanjay Kumar,ORD000163,96.2,17,61.04
PK037,Arun Kumar,ORD000164,82.55,6,71.99
PK107,Meena Devi,ORD000165,99.96,6,30.56
PK195,Sanjay Kumar,ORD000166,97.35,16,55.93
PK136,Naveen Kumar,ORD000167,98.58,5,53.49
PK094,Sanjay Kumar,ORD000168,87.41,19,26.2
PK005,Anitha S,ORD000169,82.9,15,47.21
PK102,Meena Devi,ORD000170,96.54,6,65.2
PK081,Arun Kumar,ORD000171,96.82,19,115.77
PK152,Divya Nair,ORD000172,88.24,15,66.67
PK045,Naveen Kumar,ORD000173,96.22,14,81.77
PK113,Arun Kumar,ORD000174,88.56,13,84.7
PK237,Sanjay Kumar,ORD000175,98.36,16,62.64
PK002,Naveen Kumar,ORD000176,83.75,5,102.92
PK170,Naveen Kumar,ORD000177,97.29,4,64.72
PK103,Divya Nair,ORD000178,90.84,20,98.31
PK154,Priya Sharma,ORD000179,88.45,6,58.29
PK034,Anitha S,ORD000180,86.41,15,115.2
PK049,Arun Kumar,ORD000181,88.15,5,108.9
PK152,Sanjay Kumar,ORD000182,86.78,8,45.44
PK233,Divya Nair,ORD000183,90.11,8,28.24
PK192,Arun Kumar,ORD000184,98.63,4,86.09
PK201,Priya Sharma,ORD000185,87.1,20,115.66
PK038,Priya Sharma,ORD000186,85.72,5,83.53
PK082,Rahul Singh,ORD000187,92.58,18,59.88
PK127,Sanjay Kumar,ORD000188,99.34,15,91.43
PK221,Harish M,ORD000189,86.4,3,86.79
PK189,Swetha R,ORD000190,97.75,7,44.28
PK122,Karthik Raj,ORD000191,93.5,7,109.91
PK137,Karthik Raj,ORD000192,92.81,9,15.67
PK091,Priya Sharma,ORD000193,92.4,10,86.07
PK176,Vignesh R,ORD000194,83.77,14,53.82
PK125,Divya Nair,ORD000195,91.81,15,98.39
PK173,Naveen Kumar,ORD000196,85.11,18,33.14
PK076,Meena Devi,ORD000197,93.74,16,48.89
PK111,Harish M,ORD000198,82.48,3,15.09
PK122,Naveen Kumar,ORD000199,91.15,8,95.56
PK218,Divya Nair,ORD000200,86.14,9,40.07
PK063,Rahul Singh,ORD000201,96.82,7,88.29
PK179,Vignesh R,ORD000202,88.19,10,101.66
PK160,Sanjay Kumar,ORD000203,99.18,3,94.14
PK055,Meena Devi,ORD000204,95.77,8,81.11
PK137,Meena Devi,ORD000205,91.95,17,86.27
PK190,Rahul Singh,ORD000206,83.97,15,99.57
PK248,Vignesh R,ORD000207,84.25,7,58.04
PK061,Vignesh R,ORD000208,93.48,5,24.67
PK002,Priya Sharma,ORD000209,90.33,9,34.73
PK239,Rahul Singh,ORD000210,83.52,14,110.88
PK124,Arun Kumar,ORD000211,99.34,20,92.65
PK246,Harish M,ORD000212,93.49,14,54.48
PK057,Naveen Kumar,ORD000213,91.04,10,15.38
PK115,Naveen Kumar,ORD000214,91.65,4,118.92
PK102,Meena Devi,ORD000215,87.75,10,44.9
PK110,Vignesh R,ORD000216,91.4,20,109.37
PK079,Harish M,ORD000217,95.55,5,-25.0
PK205,Karthik Raj,ORD000218,88.6,13,67.14
PK081,Naveen Kumar,ORD000219,96.01,13,72.34
PK011,Meena Devi,ORD000220,95.3,12,66.35
PK246,Naveen Kumar,ORD000221,87.58,9,18.32
PK011,Meena Devi,ORD000222,91.69,9,48.66
PK235,Divya Nair,ORD000223,99.07,10,24.69
PK003,Naveen Kumar,ORD000224,87.9,19,61.17
PK001,Rahul Singh,ORD000225,83.91,20,32.07
PK080,Anitha S,ORD000226,82.13,15,78.45
PK090,Karthik Raj,ORD000227,89.59,16,103.75
PK221,Karthik Raj,ORD000228,84.87,10,90.25
PK031,Divya Nair,ORD000229,90.78,4,31.67
PK068,Anitha S,ORD000230,85.2,20,66.77
PK025,Harish M,ORD000231,82.28,9,96.66
PK155,Arun Kumar,ORD000232,94.75,15,20.45
PK038,Rahul Singh,ORD000233,99.67,20,54.56
PK233,Arun Kumar,ORD000234,95.16,8,94.77
PK138,Rahul Singh,ORD000235,88.13,16,74.94
PK148,Vignesh R,ORD000236,92.31,9,98.75
PK021,Karthik Raj,ORD000237,87.9,12,77.27
PK172,Meena Devi,ORD000238,92.12,19,26.85
PK185,Karthik Raj,ORD000239,95.29,5,23.14
PK035,Swetha R,ORD000240,96.57,19,104.17
PK168,Divya Nair,ORD000241,93.1,6,22.62
PK188,Vignesh R,ORD000242,96.04,3,59.17
PK235, Rahul Singh ,ORD000243,90.88,10,90.11
PK226,Meena Devi,ORD000244,99.75,13,110.44
PK210,Karthik Raj,ORD000245,96.81,6,17.92
PK244,Karthik Raj,ORD000246,91.89,4,24.9
PK100,Priya Sharma,ORD000247,95.42,12,111.17
PK168,Vignesh R,ORD000248,95.33,17,58.27
PK039,Naveen Kumar,ORD000249,88.49,18,109.68
PK081,Priya Sharma,ORD000250,92.38,11,15.64
PK118,Anitha S,ORD000251,86.76,5,71.38
PK145,Sanjay Kumar,ORD000252,95.76,7,35.04
PK178,Rahul Singh,ORD000253,88.43,11,24.63
PK174,Rahul Singh,ORD000254,83.57,6,99.32
PK113,Karthik Raj,ORD000255,85.92,18,110.33
PK145,Divya Nair,ORD000256,94.66,17,94.96
PK046,Priya Sharma,ORD000257,85.46,9,100.42
PK223,Harish M,ORD000258,90.98,11,42.36
PK036,Meena Devi,ORD000259,89.94,13,41.89
PK236,Priya Sharma,ORD000260,96.41,17,74.35
PK096,Karthik Raj,ORD000261,92.94,13,113.22
PK247,Harish M,ORD000262,97.68,20,80.43
PK037,Karthik Raj,ORD000263,87.48,3,54.23
PK127,Priya Sharma,ORD000264,95.87,5,50.37
PK024,Anitha S,ORD000265,94.16,19,111.31
PK229,Naveen Kumar,ORD000266,82.75,20,52.43
PK112,Harish M,ORD000267,95.55,16,60.12
PK041,Sanjay Kumar,ORD000268,82.85,11,63.74
PK153,Karthik Raj,ORD000269,99.73,17,26.39
PK162,Swetha R,ORD000270,98.35,19,25.41
PK250,Karthik Raj,ORD000271,95.32,16,86.39
PK156,Rahul Singh,ORD000272,92.76,5,66.5
PK239,Rahul Singh,ORD000273,88.6,17,47.6
PK170,Divya Nair,ORD000274,96.17,6,113.97
PK237,Arun Kumar,ORD000275,96.19,16,33.16
PK245,Anitha S,ORD000276,87.82,14,52.29
PK156,Naveen Kumar,ORD000277,91.78,17,85.3
PK244,Swetha R,ORD000278,99.17,12,100.37
PK216,Rahul Singh,ORD000279,93.16,20,105.91
PK052,Sanjay Kumar,ORD000280,84.63,20,109.41
PK225,Vignesh R,ORD000281,92.83,20,70.66
PK063,Sanjay Kumar,ORD000282,91.05,5,102.14
PK051,Rahul Singh,ORD000283,94.27,12,25.21
PK230,Harish M,ORD000284,91.03,13,57.42
PK161,Harish M,ORD000285,85.56,17,49.92
PK003,Karthik Raj,ORD000286,89.61,11,108.05
PK114,Arun Kumar,ORD000287,97.78,11,109.86
PK110,Harish M,ORD000288,83.63,17,67.33
PK075,Priya Sharma,ORD000289,87.04,7,58.82
PK153,Meena Devi,ORD000290,94.2,14,96.95
PK222,Swetha R,ORD000291,98.84,6,107.95
PK006,Rahul Singh,ORD000292,94.51,10,27.28
PK053,Rahul Singh,ORD000293,97.52,16,18.37
PK059,Swetha R,ORD000294,82.65,11,50.17
PK163,Naveen Kumar,ORD000295,95.37,20,63.21
PK009,Priya Sharma,ORD000296,92.58,8,55.62
PK033,Naveen Kumar,ORD000297,85.96,8,69.67
PK219,Swetha R,ORD000298,83.79,4,76.28
PK190,Priya Sharma,ORD000299,96.97,4,58.37
PK124,Rahul Singh,ORD000300,99.9,7,47.67
PK035,Anitha S,ORD000301,94.67,8,56.61
PK206,Rahul Singh,ORD000302,90.71,12,52.21
PK057,Harish M,ORD000303,98.56,6,75.01
PK227,Karthik Raj,ORD000304,82.93,12,21.61
PK131,Swetha R,ORD000305,86.88,6,114.97
PK245,Divya Nair,ORD000306,88.16,5,33.24
PK043,Swetha R,ORD000307,91.57,18,109.31
PK046,Arun Kumar,ORD000308,83.2,20,19.74
PK005,Anitha S,ORD000309,97.34,17,65.46
PK087,Sanjay Kumar,ORD000310,86.22,18,61.86
PK198,Priya Sharma,ORD000311,86.04,3,34.14
PK218,Anitha S,ORD000312,96.1,13,77.62
PK162,Arun Kumar,ORD000313,88.15,5,26.47
PK091,Anitha S,ORD000314,99.23,16,54.0
PK033,Meena Devi,ORD000315,86.26,4,93.01
PK011,Priya Sharma,ORD000316,91.59,9,65.86
PK054,Karthik Raj,ORD000317,91.53,6,106.09
PK201,Naveen Kumar,ORD000318,87.8,4,42.27
PK156,Meena Devi,ORD000319,88.19,15,71.07
PK100,Karthik Raj,ORD000320,100.0,16,58.98
PK091,Anitha S,ORD000321,83.79,10,118.53
PK034,Naveen Kumar,ORD000322,97.55,4,24.94
PK066,Rahul Singh,ORD000323,95.12,15,39.13
PK125,Vignesh R,ORD000324,85.69,9,82.55
PK106,Vignesh R,ORD000325,84.88,10,110.04
PK224,Harish M,ORD000326,90.48,14,69.59
PK001,Divya Nair,ORD000327,84.79,9,52.01
PK112,Meena Devi,ORD000328,86.79,9,96.79
PK117,Anitha S,ORD000329,87.57,17,50.72
PK176,Arun Kumar,ORD000330,89.78,18,73.05
PK172,Rahul Singh,ORD000331,91.69,16,98.6
PK137,Sanjay Kumar,ORD000332,97.75,6,100.97
PK042,Vignesh R,ORD000333,91.4,3,61.81
PK016,Vignesh R,ORD000334,84.17,17,31.08
PK047,Harish M,ORD000335,82.93,13,70.66
PK109,Swetha R,ORD000336,82.55,8,100.87
PK213,Swetha R,ORD000337,94.04,9,62.02
PK026,Sanjay Kumar,ORD000338,88.63,16,68.21
PK045,Vignesh R,ORD000339,84.84,7,99.18
PK044,Anitha S,ORD000340,83.25,8,100.11
PK196,Arun Kumar,ORD000341,91.27,19,48.97
PK101,Priya Sharma,ORD000342,93.19,10,63.51
PK083,Harish M,ORD000343,86.17,6,41.74
PK223,Arun Kumar,ORD000344,98.84,3,84.09
PK079,Divya Nair,ORD000345,94.31,11,116.79
PK185,Swetha R,ORD000346,86.09,12,24.54
PK237,Swetha R,ORD000347,97.3,3,114.05
PK158,Swetha R,ORD000348,83.98,4,112.63
PK112,Rahul Singh,ORD000349,92.48,5,34.64
PK033,Rahul Singh,ORD000350,86.05,11,33.86
PK189,Priya Sharma,ORD000351,85.1,13,98.66
PK230,Meena Devi,ORD000352,98.15,10,67.51
PK021,Priya Sharma,ORD000353,83.89,12,57.72
PK194,Arun Kumar,ORD000354,98.96,5,50.75
PK100,Priya Sharma,ORD000355,98.66,5,60.81
PK158,Anitha S,ORD000356,86.06,3,69.48
PK007,Anitha S,ORD000357,92.03,5,83.64
PK116,Arun Kumar,ORD000358,86.19,12,63.06
PK174,Vignesh R,ORD000359,82.41,4,17.28
PK192,Harish M,ORD000360,99.71,19,75.37
PK149,Divya Nair,ORD000361,95.87,16,90.08
PK066,Arun Kumar,ORD000362,98.96,11,43.55
PK202,Divya Nair,ORD000363,89.69,16,39.69
PK137,Priya Sharma,ORD000364,86.24,19,77.37
PK216,Swetha R,ORD000365,93.37,4,28.4
PK142,Anitha S,ORD000366,92.13,19,16.19
PK024,Meena Devi,ORD000367,91.24,7,93.32
PK165,Rahul Singh,ORD000368,93.8,11,21.03
PK172,Divya Nair,ORD000369,99.94,18,109.69
PK225,Divya Nair,ORD000370,96.08,4,116.29
PK114,Priya Sharma,ORD000371,97.36,15,45.76
PK228,Naveen Kumar,ORD000372,86.76,15,106.67
PK160,Anitha S,ORD000373,96.56,6,78.33
PK237,Anitha S,ORD000374,96.86,12,112.77
PK137,,ORD000375,86.58,4,36.94
PK188,Naveen Kumar,ORD000376,94.29,13,57.01
PK250,Swetha R,ORD000377,87.89,3,24.94
PK103,Rahul Singh,ORD000378,85.47,14,34.31
PK058,Naveen Kumar,ORD000379,95.57,20,69.78
PK082,Arun Kumar,ORD000380,99.89,13,101.02
PK236,Rahul Singh,ORD000381,84.38,16,79.68
PK049,Vignesh R,ORD000382,98.34,10,69.39
PK202,Anitha S,ORD000383,88.56,19,105.53
PK149,Swetha R,ORD000384,87.36,3,20.49
PK076,Priya Sharma,ORD000385,84.29,11,71.22
PK164,Arun Kumar,ORD000386,82.59,16,102.88
PK031,Rahul Singh,ORD000387,90.88,14,99.44
PK072,Arun Kumar,ORD000388,95.28,14,68.13
PK038,Harish M,ORD000389,98.44,16,117.76
PK035,Harish M,ORD000390,93.1,5,79.47
PK008,Swetha R,ORD000391,94.9,19,20.75
PK125,Arun Kumar,ORD000392,87.02,7,108.15
PK106,Harish M,ORD000393,82.23,12,61.5
PK230,Karthik Raj,ORD000394,91.84,9,100.79
PK037,Swetha R,ORD000395,86.05,16,64.45
PK250,Swetha R,ORD000396,98.32,12,59.84
PK123,Anitha S,ORD000397,89.11,6,79.19
PK021,Arun Kumar,ORD000398,95.94,13,84.65
PK095,Sanjay Kumar,ORD000399,96.84,6,105.99
PK121,Anitha S,ORD000400,97.86,15,77.39
PK211,Rahul Singh,ORD000401,88.44,19,74.73
PK072,Harish M,ORD000402,85.31,16,67.17
PK173,Sanjay Kumar,ORD000403,98.65,18,54.01
PK249,Divya Nair,ORD000404,85.23,4,21.03
PK188,Priya Sharma,ORD000405,89.34,7,42.26
PK082,Arun Kumar,ORD000406,83.36,8,73.98
PK177,Rahul Singh,ORD000407,95.29,6,25.62
PK094,Arun Kumar,ORD000408,98.71,7,77.22
PK018,Swetha R,ORD000409,95.6,19,69.77
PK017,Rahul Singh,ORD000410,99.04,3,18.52
PK233,Divya Nair,ORD000411,85.61,4,78.02
PK097,Rahul Singh,ORD000412,98.08,6,75.05
PK116,Arun Kumar,ORD000413,82.79,13,93.77
PK228,Divya Nair,ORD000414,89.44,13,109.82
PK177,Rahul Singh,ORD000415,99.14,8,23.02
PK100,Anitha S,ORD000416,92.41,3,104.72
PK144,Divya Nair,ORD000417,83.67,16,66.0
PK067,Anitha S,ORD000418,94.28,9,33.12
PK197,Sanjay Kumar,ORD000419,89.66,14,85.81
PK217,Anitha S,ORD000420,83.03,10,86.83
PK108,Karthik Raj,ORD000421,83.99,20,96.84
PK212,Arun Kumar,ORD000422,98.37,18,95.43
PK222,Swetha R,ORD000423,95.46,7,70.88
PK191,Arun Kumar,ORD000424,91.26,15,56.47
PK179,Priya Sharma,ORD000425,89.83,9,91.53
PK109,Vignesh R,ORD000426,97.47,8,105.9
PK084,Arun Kumar,ORD000427,82.3,20,61.52
PK008,Harish M,ORD000428,92.59,19,83.66
PK192,Naveen Kumar,ORD000429,82.54,14,61.68
PK051,Rahul Singh,ORD000430,94.81,18,20.11
PK189,Anitha S,ORD000431,82.86,15,80.53
PK194,Arun Kumar,ORD000432,83.12,9,70.87
PK243,Divya Nair,ORD000433,96.13,15,52.28
PK078,Harish M,ORD000434,89.37,19,39.67
PK203,Divya Nair,ORD000435,89.5,17,48.55
PK250,Meena Devi,ORD000436,95.45,12,16.58
PK043,Arun Kumar,ORD000437,97.12,15,105.64
PK036,Meena Devi,ORD000438,92.56,7,32.53
PK234,Priya Sharma,ORD000439,98.64,11,31.22
PK070,Divya Nair,ORD000440,94.52,18,83.78
PK070,Meena Devi,ORD000441,94.15,10,44.18
PK085,Arun Kumar,ORD000442,90.07,3,89.21
PK095,Harish M,ORD000443,96.66,8,53.02
PK084,Divya Nair,ORD000444,86.1,16,74.79
PK095,Anitha S,ORD000445,94.91,3,88.91
PK156,Priya Sharma,ORD000446,83.54,9,77.27
PK195,Meena Devi,ORD000447,98.96,20,98.45
PK075,Vignesh R,ORD000448,93.44,7,117.39
PK220,Arun Kumar,ORD000449,99.19,5,20.16
PK168,Meena Devi,ORD000450,84.51,3,64.22
PK128,Karthik Raj,ORD000451,85.2,17,118.51
PK013,Naveen Kumar,ORD000452,95.14,17,99.54
PK117,Rahul Singh,ORD000453,89.1,4,59.28
PK095,Vignesh R,ORD000454,89.29,18,79.24
PK082,Sanjay Kumar,ORD000455,92.37,4,32.2
PK186,Sanjay Kumar,ORD000456,87.28,11,17.44
PK087,Arun Kumar,ORD000457,82.95,8,58.16
PK112,Anitha S,ORD000458,94.34,3,35.02
PK066,Vignesh R,ORD000459,82.38,20,38.98
PK180,Swetha R,ORD000460,84.89,19,111.0
PK185,Rahul Singh,ORD000461,96.94,9,33.92
PK038,Swetha R,ORD000462,91.62,15,28.7
PK229,Harish M,ORD000463,95.37,14,20.41
PK206,Divya Nair,ORD000464,87.77,12,55.96
PK187,Karthik Raj,ORD000465,87.72,14,15.14
PK102,Vignesh R,ORD000466,88.23,13,39.91
PK020,Swetha R,ORD000467,85.85,8,25.31
PK038,Priya Sharma,ORD000468,93.4,12,64.06
PK073,Anitha S,ORD000469,87.3,13,48.54
PK137,Karthik Raj,ORD000470,84.42,3,27.92
PK246,Arun Kumar,ORD000471,86.31,5,79.54
PK207,Naveen Kumar,ORD000472,88.31,15,97.34
PK058,Priya Sharma,ORD000473,93.95,8,109.37
PK206,Divya Nair,ORD000474,89.1,3,54.45
PK062,Meena Devi,ORD000475,96.06,8,65.78
PK214,Arun Kumar,ORD000476,85.78,20,48.5
PK243,Anitha S,ORD000477,86.36,20,103.35
PK077,Meena Devi,ORD000478,99.83,3,83.26
PK154,Naveen Kumar,ORD000479,83.16,19,64.32
PK008,Arun Kumar,ORD000480,85.87,11,118.34
PK153,Priya Sharma,ORD000481,99.48,3,28.52
PK094,Arun Kumar,ORD000482,88.39,16,41.25
PK053,Sanjay Kumar,ORD000483,99.18,15,69.4
PK029,Vignesh R,ORD000484,95.55,13,65.49
PK159,Divya Nair,ORD000485,93.34,15,58.43
PK002,Meena Devi,ORD000486,83.64,6,69.84
PK042,Karthik Raj,ORD000487,85.74,18,35.09
PK065,Swetha R,ORD000488,97.37,12,90.46
PK077,Karthik Raj,ORD000489,84.96,11,88.69
PK067,Arun Kumar,ORD000490,89.89,17,65.76
PK095,Divya Nair,ORD000491,83.15,13,107.14
PK064,Naveen Kumar,ORD000492,92.61,13,15.5
PK211,Vignesh R,ORD000493,97.67,16,40.25
PK084,Harish M,ORD000494,97.6,4,16.57
PK101,Karthik Raj,ORD000495,91.83,7,100.49
PK166,Karthik Raj,ORD000496,90.62,11,70.23
PK222,Sanjay Kumar,ORD000497,90.03,7,93.53
PK011,Anitha S,ORD000498,98.17,19,109.18
PK232,Karthik Raj,ORD000499,89.9,19,70.58
PK075,Karthik Raj,ORD000500,98.68,17,46.15
PK159,Naveen Kumar,ORD000501,90.77,5,16.67
PK060,Meena Devi,ORD000502,90.96,4,108.36
PK081,Rahul Singh,ORD000503,86.4,18,32.61
PK194,Arun Kumar,ORD000504,93.37,6,22.22
PK195,Divya Nair,ORD000505,89.91,17,71.22
PK069,Vignesh R,ORD000506,90.66,19,90.73
PK027,Swetha R,ORD000507,96.32,5,62.21
